name,category,price,platform,sales_volume,rating,description
床边夹缝收纳盒加高款15-20cm窄缝置物架,家居收纳,42.0,拼多多,15600,4.7,加高款15-20cm窄缝 四层大容量 带滑轮移动 冰箱旁洗衣机旁通用
床边夹缝收纳盒带抽屉款多层分类储物架,家居收纳,39.0,抖音,12800,4.6,带抽屉设计防尘 窄缝10-16cm 多层分类 卧室厨房浴室通用 免安装
床边夹缝收纳盒厨房专用调料瓶置物架,家居收纳,32.0,拼多多,14200,4.5,厨房窄缝专用 可放调料瓶 带滑轮可拉出 10-14cm窄缝利用
可折叠脏衣篓大容量防水收纳筐,家居收纳,29.9,抖音,11200,4.7,牛津布防水材质 可折叠省空间 大容量35L 北欧简约配色 学生宿舍家用皆可
可折叠脏衣篓方形大容量50L防水收纳筐,家居收纳,39.9,拼多多,13500,4.6,升级50L超大容量 方形设计更省空间 牛津布防水 可折叠 家庭装首选
可折叠脏衣篓带分类格双区脏衣收纳筐,家居收纳,35.0,抖音,9800,4.8,双区分类设计 深浅色分开 可折叠 防水牛津布 带手提方便搬运
可折叠脏衣篓卡通款儿童房玩具收纳筐,家居收纳,25.0,小红书,8900,4.6,卡通动物造型 可折叠 轻便防水 儿童房玩具衣物收纳两用 多款可选
桌面数据线收纳盒带盖多功能集线器,家居收纳,19.9,小红书,8900,4.5,一体式集线设计 可收纳5-8根数据线 带盖防尘 小巧不占桌面 办公桌必备好物
桌面数据线收纳盒大号多层充电站集线器,家居收纳,35.0,抖音,11200,4.6,大号多层设计 可同时放手机充电 集线收纳二合一 带盖防尘 桌面整洁神器
桌面数据线收纳盒带手机支架款多功能集线器,家居收纳,25.0,拼多多,10500,4.4,收纳+手机支架二合一 带盖防尘 多槽设计 办公桌追剧两不误
遮光魔术贴窗帘免打孔安装隔热遮阳帘,家居收纳,45.0,拼多多,13600,4.4,魔术贴免打孔安装 全遮光面料 隔热防晒 可裁剪定制尺寸 出租屋神器
遮光魔术贴窗帘加厚双层隔音隔热遮阳帘,家居收纳,59.0,抖音,9800,4.5,加厚双层面料 遮光+隔音+隔热三效合一 魔术贴免打孔 可裁剪定制
遮光魔术贴窗帘儿童房卡通图案隔热遮阳帘,家居收纳,52.0,小红书,7600,4.7,卡通图案设计 全遮光隔热 魔术贴免打孔 儿童房专用 可裁剪 多图案可选
遮光魔术贴窗帘飘窗专用弧形隔热遮阳帘,家居收纳,55.0,拼多多,11500,4.4,飘窗弧形专用设计 魔术贴免打孔 全遮光隔热 可裁剪 出租屋飘窗神器
厨房水槽沥水篮可伸缩挂式收纳架,厨房收纳,42.0,抖音,22300,4.8,可伸缩设计适配不同水槽 不锈钢材质防锈 挂式沥水不占台面 带筷子筒刀架 厨房收纳神器
厨房水槽沥水篮吸盘固定式不锈钢沥水架,厨房收纳,35.0,拼多多,18600,4.6,吸盘固定款 不锈钢材质 免打孔安装 带筷子筒 洗碗布沥水一步到位
厨房水槽沥水篮双层大容量可伸缩置物架,厨房收纳,55.0,抖音,16200,4.7,双层设计容量翻倍 可伸缩适配水槽 不锈钢材质 带刀架筷子筒砧板架
厨房水槽沥水篮折叠款便携出租屋用沥水架,厨房收纳,28.0,拼多多,13800,4.5,可折叠收纳不占空间 轻便塑料材质 出租屋学生宿舍专用 性价比之选
冰箱磁吸收纳架侧壁置物架多层储物,厨房收纳,28.9,抖音,16700,4.6,强磁吸附稳固不掉 多层分区收纳 保鲜膜纸巾调料瓶通通上墙 释放台面空间
冰箱磁吸收纳架加宽款三层侧壁置物架,厨房收纳,38.0,拼多多,14200,4.5,加宽三层设计 强磁吸附 可放砧板锅盖 承重15kg 冰箱侧壁空间利用
冰箱磁吸收纳架带挂钩款多功能储物架,厨房收纳,32.0,抖音,12500,4.7,带挂钩可挂厨具 强磁吸附 多层收纳 保鲜膜纸巾调料瓶收纳 厨房墙面利用
冰箱磁吸收纳架微波炉置物架通用磁吸款,厨房收纳,45.0,小红书,9800,4.6,微波炉上方置物 强磁吸附冰箱侧壁 承重强 释放台面空间 小厨房必备
免打孔吸盘置物架浴室壁挂三角架,浴室用品,25.0,拼多多,19800,4.5,强力吸盘免打孔 三角设计利用墙角空间 承重5kg 放洗发水沐浴露 浴室必备收纳
免打孔吸盘置物架浴室壁挂长方形双层架,浴室用品,32.0,抖音,17500,4.6,长方形双层设计 强力吸盘免打孔 承重8kg 大瓶沐浴露洗发水轻松放
免打孔吸盘置物架浴室转角落地三角架,浴室用品,45.0,拼多多,15200,4.4,落地式转角三角架 免打孔免吸盘 稳固不摇晃 多层收纳 租房族首选
免打孔吸盘置物架带牙刷架牙膏架浴室套装,浴室用品,28.0,抖音,13300,4.7,置物架+牙刷架+牙膏架三件套 强力吸盘免打孔 浴室收纳一步到位
防滑浴室地垫吸水速干硅藻泥脚垫,浴室用品,39.0,抖音,14200,4.7,硅藻泥材质5秒速干吸水 防滑底面安全可靠 可冲洗易清洁 浴室门口卧室均可使用
防滑浴室地垫大尺寸60x40cm硅藻泥脚垫,浴室用品,55.0,小红书,11200,4.8,加大尺寸60x40cm 硅藻泥速干吸水 防滑底面 浴室门口专用 简约纯色
防滑浴室地垫软硅藻泥可裁剪异形脚垫,浴室用品,35.0,拼多多,16800,4.5,软硅藻泥可自由裁剪 异形设计适配各种空间 防滑速干 易清洁可水洗
防滑浴室地垫石材纹硅藻泥吸水速干脚垫,浴室用品,42.0,抖音,12800,4.6,天然石材纹理 高颜值 硅藻泥速干吸水 防滑安全 提升浴室格调
儿童冰丝防晒衣男童女童UPF50+透气外套,母婴,59.0,抖音,9800,4.9,儿童专属冰丝面料 UPF50+防晒 透气不闷热 轻薄便携可折叠 3-12岁多码可选
儿童冰丝防晒衣连帽款男童女童UPF50+皮肤衣,母婴,65.0,拼多多,11200,4.8,连帽设计防护更全面 UPF50+ 冰丝透气 轻薄可折叠 儿童户外防晒必备
儿童冰丝防晒衣亲子装母女同款UPF50+,母婴,69.0,小红书,7600,4.9,亲子款设计 妈妈+女童同款 UPF50+冰丝面料 拍照好看 户外出行必备
儿童冰丝防晒衣婴儿款0-3岁UPF50+连体防晒服,母婴,55.0,抖音,8500,4.7,婴儿专属0-3岁 UPF50+ 连体设计全身防护 冰丝面料柔软亲肤 轻薄透气
婴儿硅胶辅食分格盒冷冻辅食储存盒,母婴,35.0,小红书,7600,4.8,食品级硅胶材质 四分格设计 可冷冻可微波 带密封盖防漏 宝宝辅食必备工具
婴儿硅胶辅食分格盒六格加大容量储存盒,母婴,42.0,抖音,9200,4.7,六分格设计容量更大 食品级硅胶 可冷冻可微波 带密封盖 辅食多样化储存
婴儿硅胶辅食分格盒带刻度定量辅食盒,母婴,38.0,拼多多,10800,4.6,带刻度精准定量 食品级硅胶 四分格 可冷冻可微波 科学喂养好帮手
婴儿硅胶辅食分格盒花瓣造型辅食模具套装,母婴,45.0,小红书,6500,4.9,花瓣造型高颜值 食品级硅胶 六分格 可冷冻可微波 送礼自用两相宜
宠物冰丝降温垫狗狗夏天凉席猫窝垫子,宠物用品,29.9,抖音,11300,4.6,冰丝面料物理降温 无需注水无需充电 可水洗机洗 防抓耐磨 猫狗通用夏季消暑神器
宠物冰丝降温垫加大号L号大型犬狗凉席垫,宠物用品,45.0,拼多多,13500,4.5,加大L号大型犬专用 冰丝降温面料 物理降温无需充电 防抓耐磨可水洗
宠物冰丝降温垫可折叠便携外出款狗凉垫,宠物用品,25.0,抖音,9800,4.6,可折叠便携设计 外出遛狗野餐携带方便 冰丝降温 猫狗通用 夏季必备
宠物冰丝降温垫双面可用凝胶+冰丝狗凉席垫,宠物用品,39.0,小红书,8900,4.7,双面设计凝胶面+冰丝面 降温效果加倍 物理降温无需充电 防抓耐咬
宠物免洗清洁手套猫咪狗狗干洗手套,宠物用品,19.9,小红书,8400,4.4,植物萃取温和不刺激 免水洗免冲洗 一擦即净 去除异味皮屑 外出遛狗回家必备
宠物免洗清洁手套加大加厚款猫咪狗狗专用,宠物用品,25.0,抖音,10200,4.5,加大加厚手套 植物萃取 免水洗 一擦即净 去除异味 长毛猫狗友好
宠物免洗清洁手套狗狗专用除臭加强款,宠物用品,22.0,拼多多,11500,4.3,除臭加强配方 植物萃取温和 免水洗 专为狗狗设计 去除体味皮屑 遛狗必备
宠物免洗清洁手套猫咪专用防静电柔顺款,宠物用品,23.0,小红书,7800,4.6,猫咪专用 防静电柔顺毛发 植物萃取免水洗 去除浮毛异味 猫主子友好
便携式手持小风扇USB充电迷你静音风扇,数码电器,29.9,拼多多,25600,4.5,USB充电1200mAh续航8小时 3档风速 超静音设计 折叠便携 学生办公户外必备
便携式手持小风扇挂脖免手持USB充电风扇,数码电器,39.0,抖音,21500,4.6,挂脖免手持设计 USB充电 3档风速 超静音 解放双手 通勤户外神器
便携式手持小风扇喷雾加湿款USB充电风扇,数码电器,35.0,拼多多,18900,4.4,喷雾加湿二合一 USB充电 3档风速 纳米喷雾降温 夏季户外消暑神器
便携式手持小风扇大容量6000mAh长续航风扇,数码电器,45.0,抖音,13200,4.7,6000mAh超大容量续航24小时 USB充电可当充电宝 3档风速 户外必备
无线蓝牙耳机降噪长续航2026新款,数码电器,89.0,抖音,31200,4.7,蓝牙5.3芯片 40小时超长续航 ANC主动降噪 入耳式舒适佩戴 IPX5防水 运动通勤首选
无线蓝牙耳机半入耳式轻量舒适长续航2026款,数码电器,69.0,拼多多,28500,4.6,半入耳式轻量设计 蓝牙5.3 30小时续航 舒适佩戴不胀痛 通勤办公首选
无线蓝牙耳机头戴式重低音游戏电竞耳机,数码电器,129.0,抖音,16800,4.5,头戴式重低音 蓝牙5.3 50小时续航 游戏低延迟模式 电竞RGB灯效 沉浸体验
无线蓝牙耳机开放式不入耳气传导运动耳机,数码电器,109.0,小红书,12500,4.8,开放不入耳设计 气传导技术 运动安全感知环境 蓝牙5.3 IPX6防水 跑步骑行首选
全自动折叠晴雨伞防晒防紫外线遮阳伞,日用百货,39.9,拼多多,18900,4.6,UPF50+防晒涂层 晴雨两用 一键自动开合 加固防风骨架 折叠后仅20cm 随身携带
全自动折叠晴雨伞加大双人款防晒防紫外线,日用百货,49.0,抖音,16500,4.7,加大双人伞面 UPF50+防晒 一键自动开合 防风加固骨架 情侣双人出行必备
全自动折叠晴雨伞迷你五折款超轻遮阳伞,日用百货,35.0,小红书,14200,4.8,迷你五折设计折叠仅15cm 超轻180g UPF50+防晒 一键开合 随身包包必备
全自动折叠晴雨伞反向收伞不湿车款遮阳伞,日用百货,55.0,抖音,13200,4.6,反向收伞设计 雨水不外溅 不湿车不湿衣 UPF50+防晒 一键自动开合
不锈钢保温杯大容量1000ml便携水壶,日用百货,49.0,抖音,15400,4.8,316不锈钢内胆 12小时保温8小时保冷 1000ml大容量 食品级硅胶密封圈 户外办公健身通用
不锈钢保温杯智能数显温度款大容量水壶,日用百货,65.0,拼多多,13200,4.6,杯盖LED数显温度 316不锈钢内胆 1000ml大容量 12小时保温 智能科技感十足
不锈钢保温杯迷你便携款350ml口袋保温杯,日用百货,35.0,小红书,11200,4.7,迷你350ml口袋款 316不锈钢 8小时保温 轻便随身 口红大小 包包必备
不锈钢保温杯运动款带吸管1000ml大容量水壶,日用百货,55.0,抖音,14800,4.7,运动款带吸管 316不锈钢 1000ml 12小时保温 单手开盖 健身户外必备
纳米喷雾补水仪冷喷蒸脸器便携美容仪,美妆护肤,39.0,抖音,18500,4.6,纳米级冷喷补水 30秒出雾 充电便携 补水保湿定妆 办公室空调房必备
玻尿酸补水面膜30片装保湿修护面膜贴,美妆护肤,49.9,拼多多,32600,4.5,三重玻尿酸精华 30片大包装 补水保湿修护 轻薄蚕丝膜布 学生党平价面膜
烟酰胺亮肤精华液30ml祛黄提亮美白精华,美妆护肤,69.0,抖音,15800,4.7,5%烟酰胺精华 祛黄提亮 美白淡斑 清爽不黏腻 敏感肌可用 平价美白精华
氨基酸温和洁面乳120g深层清洁不紧绷洗面奶,美妆护肤,39.0,小红书,14200,4.8,氨基酸配方温和不刺激 泡沫绵密 深层清洁不紧绷 所有肤质适用
防晒霜SPF50+PA++++清爽不油腻全身防晒乳,美妆护肤,45.0,拼多多,28500,4.6,SPF50+高倍防晒 清爽不油腻 全身可用 防水防汗 夏季防晒必备
玻尿酸补水面膜补水保湿舒缓修护面膜10片装,美妆护肤,29.9,小红书,11500,4.7,玻尿酸精华补水 舒缓修护 轻薄膜布 10片便携装 出差旅行必备
定妆散粉控油持久蜜粉饼透明无色定妆粉,美妆护肤,49.0,抖音,16800,4.6,控油持久定妆 透明无色自然妆效 粉质细腻不卡粉 平价大碗 学生党闭眼入
温和卸妆水500ml大容量眼唇脸三合一卸妆液,美妆护肤,29.9,拼多多,22500,4.5,眼唇脸三合一 温和不刺激 500ml大容量 卸妆干净不残留 平价卸妆首选
润唇膏补水保湿防干裂淡化唇纹唇部护理,美妆护肤,15.0,抖音,35200,4.8,深层补水保湿 淡化唇纹 夜间修护唇膜 防干裂 男女通用 一年四季必备
补水保湿喷雾300ml大瓶装爽肤水定妆喷雾,美妆护肤,25.0,拼多多,19800,4.5,300ml大瓶装 补水保湿 妆前打底妆后定妆 空调房随时补水 全身可用
螺蛳粉正宗柳州特产螺狮粉整箱350gx5袋,食品饮料,39.9,拼多多,42500,4.7,正宗柳州螺蛳粉 350gx5袋整箱 酸辣鲜香 配料丰富 地道柳州味 速食米粉
无糖黑咖啡速溶美式纯黑咖啡粉50条装,食品饮料,29.9,抖音,28900,4.6,0糖0脂纯黑咖啡 50条独立包装 提神燃脂 冷热双泡 健身办公必备
坚果零食大礼包每日坚果混合装30小包,食品饮料,59.0,拼多多,35600,4.8,6种坚果+果干混合 30袋独立小包装 每日一袋 健康零食 孕妇儿童可食
0糖气泡水6口味混合装330mlx12罐,食品饮料,29.9,抖音,38500,4.6,0糖0脂0卡 6种口味混合装 330mlx12罐 清新解渴 减肥期快乐水替代品
全麦面包吐司无糖低脂代餐早餐1000g整箱,食品饮料,25.0,拼多多,45200,4.5,全麦无糖低脂 1000g整箱 代餐早餐 健身减脂必备 饱腹感强 学生党囤货
手撕牛肉干内蒙古风干牦牛肉干麻辣零食250g,食品饮料,35.0,抖音,28600,4.7,内蒙古风干牛肉 麻辣味250g 肉质紧实有嚼劲 高蛋白低脂 追剧零食
坚果混合装腰果巴旦木核桃仁夏威夷果500g,食品饮料,49.9,拼多多,31200,4.6,4种坚果混合500g 腰果巴旦木核桃夏威夷果 无添加原味 健康零食
冻干柠檬片蜂蜜柠檬茶泡水喝干柠檬片50片装,食品饮料,19.9,抖音,52300,4.8,冻干工艺锁鲜 50片独立包装 泡水即饮 美白补水 办公桌必备养生茶
酸奶果粒麦片即食代餐营养早餐燕麦片500g,食品饮料,29.0,小红书,16500,4.7,酸奶果粒+坚果+燕麦 即食代餐 营养早餐 干吃泡奶均可 减脂期好搭档
红枣枸杞阿胶糕即食补气血阿胶固元糕500g,食品饮料,59.0,抖音,22300,4.6,红枣枸杞阿胶糕 即食固元糕 补气血养颜 独立小包装 女性养生零食
瑜伽弹力带套装阻力带翘臀拉力绳健身套装,运动户外,29.9,抖音,23500,4.7,5件套弹力带+拉力绳+脚环 不同阻力值 翘臀瘦腿塑形 家庭健身必备 附教程
速干运动T恤男款夏季透气跑步健身短袖,运动户外,49.0,拼多多,18600,4.6,速干面料透气排汗 运动T恤 夏季跑步健身 简约百搭 多色可选
羽毛球拍双拍套装碳素成人儿童亲子球拍,运动户外,69.0,抖音,15200,4.7,碳素双拍套装 送6只羽毛球+球包 成人儿童通用 亲子运动 户外休闲
运动护膝半月板损伤护具篮球跑步登山护膝,运动户外,35.0,拼多多,19800,4.5,透气加压护膝 半月板保护 篮球跑步登山 运动防护 男女通用 一对装
跳绳中考专用计数跳绳成人儿童健身减肥绳,运动户外,19.9,拼多多,32500,4.7,电子计数 中考专用 成人儿童通用 钢丝绳芯耐磨 减肥健身 附收纳袋
户外运动腰包跑步手机腰包防水马拉松装备,运动户外,25.0,抖音,16800,4.6,防水面料 大容量可放手机 跑步马拉松骑行 贴身不晃动 男女通用
防晒冰袖女款防紫外线手臂套袖骑行开车护臂,运动户外,9.9,拼多多,52500,4.6,UPF50+防晒冰袖 冰凉降温 骑行开车户外防晒 男女通用 多色可选1双装
健腹轮自动回弹腹肌轮收腹健身器材家用,运动户外,39.0,抖音,21500,4.5,自动回弹健腹轮 初学者友好 腹肌训练收腹 居家健身 送跪垫 男女通用
中性笔速干按动签字笔学生用考试黑色水笔0.5mm,文具办公,9.9,拼多多,62500,4.7,速干不晕染 按动设计方便 0.5mm子弹头 学生考试刷题必备 办公书写 12支装
活页笔记本B5可拆卸加厚方格本简约记事本,文具办公,15.0,抖音,18500,4.8,B5活页可拆卸 加厚120页 方格内页 可替换芯 学生考研考公笔记本
ins风水彩笔双头软头马克笔手账涂鸦彩色笔,文具办公,29.9,小红书,13500,4.7,双头软头设计 30色水彩马克笔 ins风手账涂鸦 学生画画 送礼自用
透明笔盒大容量ins风多功能铅笔盒文具收纳盒,文具办公,12.0,拼多多,35200,4.6,透明高颜值ins风 大容量可放30+笔 多功能分格 学生铅笔盒 考试专用
标签打印机迷你便携蓝牙热敏标签机,文具办公,49.0,抖音,12500,4.5,迷你便携 蓝牙连接手机APP编辑 热敏打印无需墨水 收纳分类标记好帮手
索引贴透明便利贴标签纸荧光标记贴学生用,文具办公,6.9,拼多多,48500,4.7,透明材质不遮挡文字 荧光多色 可重复粘贴 学生课本标记 办公文件分类
静音挂钟客厅家用简约ins风时钟卧室挂表,家居收纳,29.9,拼多多,22500,4.6,静音扫秒机芯 简约ins风 12英寸 客厅卧室通用 多色可选 挂钟必备
LED台灯护眼学习专用床头书桌阅读灯,数码电器,59.0,抖音,28500,4.7,LED护眼无频闪 三档色温可调 可折叠便携 学生宿舍书桌阅读灯 充插两用
一次性懒人抹布干湿两用可水洗厨房抹布50片,厨房收纳,9.9,拼多多,56500,4.6,干湿两用 可水洗反复使用3-5次 50片装 厨房清洁神器 用完即扔懒人必备
保鲜盒套装冰箱收纳盒带盖微波炉可加热10件套,厨房收纳,29.9,抖音,32500,4.7,食品级PP材质 10件套 可微波可冷冻 密封防漏 冰箱收纳神器
大容量笔袋ins风简约帆布文具盒学生用,文具办公,15.0,拼多多,28500,4.7,帆布材质大容量 简约ins风 可放50+支笔 学生考试收纳袋 多色可选
按动荧光笔6色套装淡色系标记重点笔,文具办公,9.9,抖音,38500,4.8,6色淡色系荧光笔 按动设计单手操作 不洇纸 学生课本标记重点必备
A4文件夹板夹竖式资料夹写字板办公用品,文具办公,8.0,拼多多,42500,4.6,A4竖式文件夹 金属夹牢固 可挂墙 办公文件收纳 学生试卷整理
修正带替芯装6个装学生用静音顺滑涂改带,文具办公,7.9,拼多多,52500,4.7,6个装替芯 静音滚轮 顺滑不断带 学生考试刷题必备 性价比之选
手账贴纸套装复古盐系ins风日记装饰贴画,文具办公,12.0,小红书,18500,4.8,复古盐系ins风 6张套装 手账日记装饰 防水材质 学生手工必备
考试专用2B涂卡笔套装自动铅笔答题卡铅笔,文具办公,5.9,拼多多,68500,4.7,考试专用2B涂卡笔 自动出芯 送橡皮+笔芯 中高考必备 3支装
桌面洞洞板置物架免打孔墙上收纳挂板,文具办公,25.0,抖音,13500,4.6,洞洞板免打孔安装 桌面墙面两用 配件齐全 办公文具收纳神器
静音计时器学生学习专用倒计时番茄钟,文具办公,19.9,抖音,22500,4.7,静音计时 LED大屏显示 番茄工作法 学生刷题考研倒计时 磁吸可站立
推拉橡皮擦小学生专用干净不留痕少屑橡皮,文具办公,4.9,拼多多,58500,4.7,推拉式设计 干净少屑 不留痕迹 小学生专用 大容量一块用一学期
莫兰迪色中性笔0.5mm按动签字笔高颜值套装,文具办公,16.0,小红书,25500,4.8,莫兰迪色系8色套装 0.5mm子弹头 高颜值ins风 顺滑速干 学生办公
A5活页本替芯方格横线空白内芯纸60页装,文具办公,6.9,拼多多,38500,4.6,A5活页替芯 方格+横线+空白三种可选 60页装 纸质顺滑不洇墨
桌面收纳抽屉式笔架多层透明文具分类盒,文具办公,22.0,抖音,16800,4.7,抽屉式多层设计 透明可视 分类收纳 桌面文具整理 办公桌必备
手账和纸胶带套装复古风10卷入坑基础款,文具办公,15.0,小红书,14500,4.8,10卷套装和纸胶带 复古基础款 手账入坑必备 可撕可贴不残胶
伸缩书立架大容量可调节学生桌面书架,文具办公,18.0,拼多多,19500,4.6,可伸缩调节长度 大容量放30+本书 铁艺稳固 学生桌面课桌书架
错题打印机迷你便携蓝牙热敏错题本神器,文具办公,59.0,抖音,13500,4.7,迷你便携蓝牙连接 热敏打印 学生错题整理神器 送10卷打印纸
线圈笔记本A5简约网格本学生考研记事本,文具办公,9.9,拼多多,32500,4.7,A5线圈本 网格内页  PU封面防水 可平摊180° 学生记笔记首选
自粘性索引贴便利贴透明标签纸分类贴,文具办公,5.0,拼多多,45500,4.6,自粘透明标签 可书写可标记 分类索引 课本笔记本必备 120枚装
铅笔刀电动卷笔刀小学生全自动削笔器,文具办公,35.0,抖音,12500,4.7,全自动电动削笔 粗细可调 安全童锁 小学生专用 充电款持久续航
多色按动圆珠笔中油笔学生用彩色油笔套装,文具办公,11.0,拼多多,28500,4.6,12色套装按动圆珠笔 中油笔顺滑书写 学生笔记手账 彩色标记
瑜伽垫加厚防滑初学者健身垫子家用运动垫,运动户外,39.0,抖音,22500,4.7,NBR材质加厚10mm 防滑双面可用 初学者瑜伽健身 送收纳绑带
跑步腰包男女款防水手机袋运动腰带,运动户外,22.0,拼多多,18500,4.6,防水面料 大容量放6.7寸手机 跑步马拉松骑行 夜跑反光条设计
登山杖折叠超轻铝合金户外徒步拐杖手杖,运动户外,49.0,抖音,10800,4.7,7075铝合金超轻 折叠便携 伸缩调节 户外徒步登山 送杖尖保护套
臂包运动手机臂套男女跑步手臂包防水,运动户外,15.0,拼多多,28500,4.5,防水触屏臂包 适用5-7寸手机 跑步健身 反光条夜跑安全 透气不闷
运动水杯大容量1000ml刻度水壶健身水杯,运动户外,25.0,抖音,32500,4.7,食品级PC材质 1000ml大容量 刻度线提醒饮水 弹跳盖单手开 健身必备
筋膜枪迷你按摩枪肌肉放松电动按摩器,运动户外,79.0,抖音,15200,4.6,迷你便携筋膜枪 6档调节4个按摩头 深层放松肌肉 Type-C充电 运动恢复
骑行手套男女夏季透气减震公路车手套,运动户外,29.0,拼多多,12500,4.7,透气网眼面料 掌心硅胶减震垫 公路车山地车通用 夏季骑行必备
速干毛巾超细纤维吸水运动毛巾便携,运动户外,19.0,抖音,16500,4.6,超细纤维速干 吸水性强 便携带收纳盒 跑步健身游泳 轻量仅80g
哑铃女士家用健身器材小重量哑铃一对,运动户外,45.0,拼多多,18500,4.5,女士小重量哑铃1-3kg可选 浸塑包胶不伤地板 家用健身塑形 一对装
运动护腕扭伤防护篮球羽毛球手腕护具,运动户外,18.0,拼多多,14500,4.6,弹力加压护腕 运动扭伤防护 篮球羽毛球健身 透气排汗 男女通用
遮阳帽女夏季大帽檐防晒帽户外骑车帽,运动户外,29.0,抖音,42500,4.7,UPF50+大帽檐防晒 可折叠便携 骑车钓鱼户外 防风绳设计 多色可选
髌骨带护膝半月板损伤跑步篮球护膝带,运动户外,22.0,拼多多,16500,4.5,髌骨加压带 半月板保护 跑步篮球运动护膝 透气弹力 一对装
游泳镜防水防雾高清大框男女成人泳镜,运动户外,35.0,抖音,13500,4.6,大框高清防雾 防水不漏水 硅胶舒适密封 成人儿童通用 送鼻夹耳塞
弹力绳套装家用健身拉力绳弹力带组合,运动户外,26.0,拼多多,22500,4.6,5条不同阻力弹力绳 家用健身塑形 门扣+脚环配件齐全 附训练教程
运动毛巾冷感速干挂脖降温毛巾跑步户外,运动户外,15.0,抖音,28500,4.5,冷感面料遇水即凉 挂脖设计方便携带 跑步户外降温 速干透气
护踝运动护具脚踝扭伤防护篮球袜套,运动户外,25.0,拼多多,12500,4.6,弹力加压护踝 足弓支撑 篮球崴脚防护 轻薄透气可穿鞋内 一对装
